long;lat;group;order;region
-63.01118;18.06895;961;59903;Saint Martin
-2.219629;35.1042;962;59911;Morocco
7.438672;43.75044;963;60280;Monaco
28.2125;45.45044;964;60288;Moldova
49.93642;-16.90293;965;60438;Madagascar
73.4166;3.23125;968;60707;Maldives
-91.68369;18.67734;970;60731;Mexico
169.6351;5.830078;986;61762;Marshall Islands
22.34404;42.31396;991;61814;Macedonia
4.227636;19.14277;992;61896;Mali
14.56621;35.85273;993;62373;Malta
98.18262;9.933447;995;62391;Myanmar
19.19434;43.5333;1014;63252;Montenegro
116.6833;49.82378;1015;63345;Mongolia
145.2648;14.1581;1016;64082;Northern Mariana Islands
32.88613;-26.84932;1022;64134;Mozambique
-16.37334;19.70644;1025;64606;Mauritania
-62.14844;16.74033;1027;64929;Montserrat
57.65127;-20.48486;1028;64937;Mauritius
34.71934;-12.11064;1029;64957;Malawi
111.3893;2.415332;1032;65205;Malaysia
23.38066;-17.64062;1041;65723;Namibia
167.5444;-22.62324;1042;65959;New Caledonia
14.979;22.99619;1048;66092;Niger
167.9395;-29.01768;1049;66348;Norfolk Island
7.300782;4.418164;1050;66375;Nigeria
-83.15752;14.99307;1052;66741;Nicaragua
-169.8034;-19.08301;1053;66918;Niue
-68.20581;12.14458;1054;66927;Bonaire
-62.9375;17.49566;1055;66938;Sint Eustatius
-63.23267;17.62314;1056;66948;Saba
4.226171;51.38647;1057;66957;Netherlands
5.08584;60.30756;1066;67200;Norway
88.10977;27.87061;1098;69217;Nepal
166.9584;-0.5166017;1099;69420;Nauru
169.1782;-52.49726;1100;69429;New Zealand
58.72207;20.21875;1113;70217;Oman
76.76689;35.66172;1117;70464;Pakistan
-81.60327;7.332812;1118;71036;Panama
-128.2901;-24.39736;1123;71287;Pitcairn Islands
-69.96592;-4.235938;1124;71297;Peru
120.2504;5.256592;1125;71887;Philippines
131.1724;3.026221;1173;73173;Palau
153.5361;-11.47617;1175;73196;Papua New Guinea
19.60439;54.45918;1201;73986;Poland
-67.87247;18.05986;1202;74303;Puerto Rico
124.9053;39.53628;1205;74375;North Korea
-17.19087;32.8686;1207;74634;Madeira Islands
-25.02734;36.95996;1208;74647;Azores
-7.406153;37.17944;1215;74721;Portugal
-58.15976;-20.16465;1216;74908;Paraguay
34.24531;31.2083;1217;75166;Palestine
-138.5059;-20.85723;1219;75218;French Polynesia
51.26797;24.60723;1240;75424;Qatar
28.2125;45.45044;1241;75459;Romania
146.0456;43.40932;1242;75734;Russia
30.50996;-1.067285;1340;83186;Rwanda
-8.68335;27.28594;1341;83270;Western Sahara
41.9877;16.71562;1342;83500;Saudi Arabia
36.87139;21.99673;1346;83940;Sudan
34.07812;9.461524;1347;84388;South Sudan
-12.28061;14.80903;1348;84715;Senegal
103.9697;1.331445;1349;84959;Singapore
-26.26411;-58.43516;1350;84969;South Sandwich Islands
-37.10332;-54.06562;1351;84978;South Georgia
-5.692139;-15.99775;1352;85034;Saint Helena
-14.36436;-7.974317;1353;85042;Ascension Island
166.9292;-11.66514;1354;85054;Solomon Islands
-12.52607;7.436328;1375;85410;Sierra Leone
-89.36259;14.41602;1377;85538;El Salvador
48.93858;11.25845;1379;85621;Somalia
-56.15073;46.7624;1381;85845;Saint Pierre and Miquelon
20.2418;46.10859;1383;85871;Serbia
6.659961;0.120654;1384;86139;Sao Tome and Principe
-54.15596;5.358984;1386;86163;Suriname
22.53867;49.07271;1387;86348;Slovakia
16.51621;46.4999;1388;86494;Slovenia
16.52852;56.29053;1389;86627;Sweden
31.94824;-25.95762;1395;87226;Swaziland
-63.12304;18.06895;1396;87265;Sint Maarten
55.54033;-4.693067;1397;87273;Seychelles
42.35899;37.1086;1398;87282;Syria
-72.33281;21.85137;1399;87453;Turks and Caicos Islands
23.98027;19.49663;1402;87485;Chad
0.9004885;10.99326;1403;87777;Togo
99.66309;6.521924;1404;87912;Thailand
70.70166;39.82529;1414;88500;Tajikistan
53.10957;38.80308;1417;88872;Turkmenistan
124.0363;-9.341601;1419;89307;Timor-Leste
-174.9131;-21.30049;1422;89380;Tonga
-61.0121;10.13433;1425;89415;Trinidad
-60.7563;11.17852;1426;89446;Tobago
10.95762;33.72207;1427;89455;Tunisia
25.97002;40.13633;1430;89644;Turkey
118.4074;24.52212;1433;90209;Taiwan
39.71133;-7.977441;1435;90279;Tanzania
33.90322;-1.002051;1439;90659;Uganda
32.01221;46.20391;1440;90840;Ukraine
-53.37061;-33.74219;1442;91520;Uruguay
-155.5813;19.01201;1443;91664;USA
71.77969;39.95024;1570;97544;Uzbekistan
12.43916;41.89839;1574;98132;Vatican
-61.33437;12.69521;1575;98139;Grenadines
-61.17451;13.1581;1577;98180;Saint Vincent
-60.9979;8.867334;1578;98191;Venezuela
-64.59365;18.40283;1583;98763;Virgin Islands
106.6175;8.682813;1589;98811;Vietnam
169.8963;-20.18662;1597;99432;Vanuatu
-178.0467;-14.31836;1611;99632;Wallis and Futuna
-171.4541;-14.04648;1613;99650;Samoa
53.76318;12.63682;1615;99679;Yemen
37.85693;-46.94424;1620;99909;South Africa
32.91992;-9.407422;1623;100354;Zambia
31.28789;-22.40205;1624;100732;Zimbabwe
